[2026-04-11 14:36:15,775] 19 root - INFO - Initiate the data ingestion
[2026-04-11 14:36:22,967] 65 root - INFO - Performed train test split on the dataframe
[2026-04-11 14:36:22,967] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-11 14:36:22,967] 75 root - INFO - Exporting train and test file path.
[2026-04-11 14:36:23,052] 84 root - INFO - Exported train and test file path.
[2026-04-11 14:36:23,053] 24 root - INFO - data ingestion completed 
[2026-04-11 14:36:23,060] 27 root - INFO - Initiate the data validation
[2026-04-11 14:36:23,165] 25 root - INFO - Required number of columns:2
[2026-04-11 14:36:23,165] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:36:23,166] 25 root - INFO - Required number of columns:2
[2026-04-11 14:36:23,166] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:36:23,352] 29 root - INFO -  data validation completed 
[2026-04-11 14:36:23,353] 32 root - INFO -  data transformation started 
[2026-04-11 14:36:23,353] 66 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2026-04-11 14:36:23,353] 68 root - INFO - starting data transformation
