[2026-04-11 14:25:34,604] 19 root - INFO - Initiate the data ingestion
[2026-04-11 14:25:52,560] 65 root - INFO - Performed train test split on the dataframe
[2026-04-11 14:25:52,560] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-11 14:25:52,569] 75 root - INFO - Exporting train and test file path.
[2026-04-11 14:25:52,673] 84 root - INFO - Exported train and test file path.
[2026-04-11 14:25:52,677] 24 root - INFO - data ingestion completed 
[2026-04-11 14:25:52,685] 27 root - INFO - Initiate the data validation
[2026-04-11 14:25:52,804] 25 root - INFO - Required number of columns:2
[2026-04-11 14:25:52,804] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:25:52,806] 25 root - INFO - Required number of columns:2
[2026-04-11 14:25:52,806] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:25:53,682] 29 root - INFO -  data validation completed 
[2026-04-11 14:25:53,682] 32 root - INFO -  data transformation started 
[2026-04-11 14:25:53,683] 68 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2026-04-11 14:25:53,683] 70 root - INFO - starting data transformation
