[2026-04-09 16:27:12,351] 18 root - INFO - Initiate the data ingestion
[2026-04-09 16:27:15,774] 65 root - INFO - Performed train test split on the dataframe
[2026-04-09 16:27:15,775] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-09 16:27:15,775] 75 root - INFO - Exporting train and test file path.
[2026-04-09 16:27:15,869] 84 root - INFO - Exported train and test file path.
[2026-04-09 16:27:15,873] 23 root - INFO - data ingestion completed 
[2026-04-09 16:27:15,880] 26 root - INFO - Initiate the data validation
[2026-04-09 16:27:16,132] 25 root - INFO - Required number of columns:2
[2026-04-09 16:27:16,132] 26 root - INFO - Data frame has columns:31
[2026-04-09 16:27:16,133] 25 root - INFO - Required number of columns:2
[2026-04-09 16:27:16,133] 26 root - INFO - Data frame has columns:31
[2026-04-09 16:27:16,372] 28 root - INFO -  data validation completed 
