[2026-04-11 14:40:12,028] 19 root - INFO - Initiate the data ingestion
[2026-04-11 14:40:19,722] 65 root - INFO - Performed train test split on the dataframe
[2026-04-11 14:40:19,722] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-11 14:40:19,722] 75 root - INFO - Exporting train and test file path.
[2026-04-11 14:40:19,803] 84 root - INFO - Exported train and test file path.
[2026-04-11 14:40:19,804] 24 root - INFO - data ingestion completed 
[2026-04-11 14:40:19,812] 27 root - INFO - Initiate the data validation
[2026-04-11 14:40:19,909] 25 root - INFO - Required number of columns:2
[2026-04-11 14:40:19,909] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:40:19,911] 25 root - INFO - Required number of columns:2
[2026-04-11 14:40:19,911] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:40:20,130] 29 root - INFO -  data validation completed 
[2026-04-11 14:40:20,130] 32 root - INFO -  data transformation started 
[2026-04-11 14:40:20,130] 66 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2026-04-11 14:40:20,130] 68 root - INFO - starting data transformation
[2026-04-11 14:40:20,161] 49 root - INFO - Enterd get_data_transformer_object method of transformer class
[2026-04-11 14:40:20,161] 54 root - INFO - initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-04-11 14:40:20,175] 47 root - INFO - Entered the save_object method of mainuitils class
[2026-04-11 14:40:20,178] 51 root - INFO - exited the save_object method of mainutils class
[2026-04-11 14:40:20,179] 37 root - INFO -  data transformation completed 
