[2026-04-11 14:39:34,331] 19 root - INFO - Initiate the data ingestion
[2026-04-11 14:39:41,278] 65 root - INFO - Performed train test split on the dataframe
[2026-04-11 14:39:41,279] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-11 14:39:41,281] 75 root - INFO - Exporting train and test file path.
[2026-04-11 14:39:41,358] 84 root - INFO - Exported train and test file path.
[2026-04-11 14:39:41,360] 24 root - INFO - data ingestion completed 
[2026-04-11 14:39:41,367] 27 root - INFO - Initiate the data validation
[2026-04-11 14:39:41,464] 25 root - INFO - Required number of columns:2
[2026-04-11 14:39:41,464] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:39:41,466] 25 root - INFO - Required number of columns:2
[2026-04-11 14:39:41,466] 26 root - INFO - Data frame has columns:31
[2026-04-11 14:39:41,650] 29 root - INFO -  data validation completed 
[2026-04-11 14:39:41,651] 32 root - INFO -  data transformation started 
[2026-04-11 14:39:41,651] 66 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2026-04-11 14:39:41,651] 68 root - INFO - starting data transformation
